Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
256631_at,AT3G28320,Identical to UPF0496 protein At3g28310/At3g28320 [Arabidopsis Thaliana] (GB:Q6E240;GB:Q9LHD4;GB:Q9LHD5); similar to AT14A [Arabidopsis thaliana] (TAIR:AT3G28290.1); similar to AT14A [Arabidopsis thaliana] (TAIR:AT3G28300.1); similar to Os03g0199100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049283.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22906.1); contains InterPro domain Protein of unknown function DUF677 (InterPro:IPR007749),22.9,22.8,-0.09999999999999787,2.698398202209025,0.0197,0.0188,0.0182,0.0368,True,True,invariant,True
250155_at,AT5G15160,bHLH family protein,21.95,21.85,-0.09999999999999787,1.8211223813817097,0.0234,0.0278,0.0254,0.0219,True,True,invariant,True
251962_at,AT3G53420,PIP2A (PLASMA MEMBRANE INTRINSIC PROTEIN 2A); water channel,23.0,22.95,-0.05000000000000071,1.2985834645822987,0.0159,0.0122,0.0427,0.0977,True,True,invariant,True
248313_at,AT5G52580,RAB GTPase activator,22.75,22.7,-0.05000000000000071,0.65619911159241,0.0353,0.0896,0.0276,0.0973,True,True,invariant,True
252381_s_at,AT3G47760;AT3G47750,"[AT3G47760, ATATH4 (ABC2 homolog 4); ATPase, coupled to transmembrane movement of substances];[AT3G47750, ATATH3 (ABC2 homolog 3); ATPase, coupled to transmembrane movement of substances]",24.15,24.1,-0.04999999999999716,1.98710366238288,0.0175,0.0113,0.0191,0.0273,True,True,invariant,True
260283_at,AT1G80480,PTAC17 (PLASTID TRANSCRIPTIONALLY ACTIVE17),23.549999999999997,23.5,-0.04999999999999716,1.4626771710788704,0.0137,0.0152,0.0417,0.0261,True,True,invariant,True
250561_at,AT5G08030,glycerophosphoryl diester phosphodiesterase family protein,22.65,22.6,-0.04999999999999716,4.12709949464317,0.0149,0.0187,0.0154,0.0182,True,True,invariant,True
259253_at,AT3G07640,similar to unnamed protein product [Vitis vinifera] (GB:CAO41126.1),22.75,22.700000000000003,-0.04999999999999716,1.24526648798237,0.022,0.0605,0.0071,0.0423,True,True,invariant,True
247162_at,AT5G65730,"xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative",22.9,22.9,0.0,1.7683104800619907,0.0115,0.0099,0.028,0.0249,True,True,invariant,True
251272_at,AT3G61890,ATHB-12 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 12); transcription factor,22.75,22.75,0.0,2.210678253289215,0.0184,0.0511,0.0794,0.0532,True,True,invariant,True
265412_at,AT2G16640,ATTOC132/TOC132 (MULTIMERIC TRANSLOCON COMPLEX IN THE OUTER ENVELOPE MEMBRANE 132); transmembrane receptor,24.6,24.6,0.0,0.767774276015325,0.0077,0.0564,0.0975,0.0356,True,True,invariant,True
262768_at,AT1G12990,glycosyl transferase family 17 protein,24.65,24.65,0.0,1.4560993497154495,0.0978,0.0595,0.0225,0.0474,True,True,invariant,True
